event_id,duration,protocol_type,service,src_bytes,class_attack
1,0,tcp,ftp_data,491,normal
2,0,udp,other,146,normal
3,0,tcp,private,0,neptune
4,0,tcp,http,232,normal
5,0,tcp,http,199,normal
6,0,tcp,private,0,neptune
7,0,tcp,private,0,neptune
8,0,tcp,private,0,neptune
9,0,tcp,remote_job,0,neptune
10,0,tcp,private,0,neptune
11,0,tcp,private,0,neptune
12,0,tcp,private,0,neptune
13,0,tcp,http,287,normal
14,0,tcp,ftp_data,334,warezclient
15,0,tcp,name,0,neptune
16,0,tcp,netbios_ns,0,neptune
17,0,tcp,http,300,normal
18,0,icmp,eco_i,18,ipsweep
19,0,tcp,http,233,normal
20,0,tcp,http,343,normal
21,0,tcp,mtp,0,neptune
22,0,tcp,private,0,neptune
23,0,tcp,http,253,normal
24,5607,udp,other,147,normal
25,0,tcp,mtp,0,neptune
26,507,tcp,telnet,437,normal
27,0,tcp,private,0,neptune
28,0,tcp,http,227,normal
29,0,tcp,http,215,normal
30,0,tcp,http,241,normal
31,0,icmp,eco_i,8,ipsweep
32,0,tcp,finger,0,neptune
33,0,tcp,http,303,normal
34,0,tcp,private,0,portsweep
35,0,udp,domain_u,45,normal
36,1,udp,private,105,normal
37,0,udp,domain_u,43,normal
38,0,tcp,supdup,0,neptune
39,0,tcp,http,324,normal
40,0,tcp,uucp_path,0,neptune
41,0,tcp,ftp_data,0,neptune
42,0,tcp,Z39_50,0,neptune
43,2,tcp,smtp,1591,normal
44,9052,udp,other,146,normal
45,0,tcp,http,290,normal
46,0,tcp,csnet_ns,0,neptune
47,0,udp,private,28,teardrop
48,0,tcp,http,255,normal
49,0,tcp,ftp_data,334,warezclient
50,0,tcp,ftp_data,0,neptune
51,0,tcp,http,302,normal
52,0,tcp,private,0,neptune
53,0,udp,private,28,teardrop
54,0,tcp,http,220,normal
55,0,udp,domain_u,43,normal
56,0,udp,domain_u,44,normal
57,0,icmp,eco_i,8,nmap
58,0,tcp,uucp,0,neptune
59,0,tcp,finger,0,neptune
60,0,udp,domain_u,43,normal
61,0,tcp,ftp_data,641,normal
62,0,tcp,private,0,neptune
63,0,tcp,private,0,satan
64,0,tcp,http,310,normal
65,0,tcp,private,0,neptune
66,0,tcp,smtp,696,normal
67,0,tcp,netbios_dgm,0,portsweep
68,0,tcp,http,0,neptune
69,0,tcp,netbios_dgm,0,neptune
70,0,tcp,supdup,0,neptune
71,0,tcp,http,221,normal
72,0,tcp,private,0,neptune
73,0,icmp,urp_i,181,normal
74,0,udp,domain_u,42,normal
75,0,tcp,private,0,neptune
76,0,tcp,ftp_data,12,normal
77,0,tcp,auth,0,neptune
78,0,tcp,http,210,normal
79,0,tcp,http,321,normal
80,0,tcp,private,0,neptune
81,0,tcp,http,329,normal
82,0,tcp,uucp_path,0,neptune
83,0,tcp,domain,0,neptune
84,0,icmp,eco_i,8,ipsweep
85,0,tcp,http,320,normal
86,0,tcp,private,0,neptune
87,0,tcp,http,225,normal
88,0,tcp,ftp,0,neptune
89,0,tcp,private,0,neptune
90,315,udp,other,146,normal
91,0,tcp,http,247,normal
92,0,tcp,http,353,normal
93,0,udp,domain_u,44,normal
94,0,tcp,private,0,neptune
95,0,tcp,csnet_ns,0,neptune
96,2,tcp,smtp,3065,normal
97,0,udp,other,102,normal
98,0,tcp,http,259,normal
99,1082,udp,other,147,normal
100,0,tcp,private,0,neptune
101,0,tcp,http,0,normal
102,0,tcp,http,309,normal
103,0,tcp,http,0,normal
104,0,tcp,http,278,normal
105,0,udp,private,28,teardrop
106,0,tcp,http,313,normal
107,0,tcp,http,219,normal
108,0,tcp,http,245,normal
109,0,tcp,http,328,normal
110,0,tcp,http,0,normal
111,0,tcp,http,251,normal
112,0,tcp,smtp,2089,normal
113,0,tcp,http,0,normal
114,0,tcp,http,237,normal
115,0,tcp,http,324,normal
116,25950,tcp,private,1,portsweep
117,0,tcp,Z39_50,0,neptune
118,0,udp,private,105,normal
119,0,tcp,http,218,normal
120,0,tcp,http,325,normal
121,0,tcp,uucp_path,0,neptune
122,0,tcp,bgp,0,neptune
123,0,tcp,csnet_ns,0,neptune
124,240,tcp,http,328,normal
125,0,tcp,bgp,0,neptune
126,0,tcp,finger,9,normal
127,0,udp,domain_u,46,normal
128,1,tcp,smtp,1079,normal
129,0,udp,domain_u,45,normal
130,26,tcp,ftp,273,normal
131,0,tcp,private,0,neptune
132,0,tcp,ldap,0,neptune
133,0,tcp,http,237,normal
134,0,tcp,http,225,normal
135,0,tcp,private,0,neptune
136,0,tcp,supdup,0,neptune
137,0,udp,other,147,normal
138,0,tcp,http,262,normal
139,0,icmp,ecr_i,1032,smurf
